feature,importance
monthly_num_reviews,0.28704267965716496
log_monthly_num_reviews,0.2861926299430553
price_missing_flag,0.07641803543748946
months_since_release,0.035031539767837856
positive_review_percent,0.03397677748914711
Single-player,0.03225876564951115
Online Co-op,0.031740874400655636
Early Access,0.028968134063983696
Simulation,0.022678419008453438
price,0.019706281239147246
Strategy,0.018132176749253544
log_price,0.01794657356092968
weighted_review,0.015021023356792774
Multi-player,0.01140904998955887
Action,0.01051124219152427
is_free_to_play,0.008455156629343232
cluster_1,0.006954043175954715
Adventure,0.006490677552789417
discount_percent,0.005566202389085043
monthly_reviews_missing_flag,0.005464579514375186
positive_review_percent_missing_flag,0.005227517425405002
RPG,0.0048381420656643005
Casual,0.004036216399009518
Racing,0.003524875763475004
Massively Multiplayer,0.003358473075795548
cluster_4,0.003024560156745919
cluster_5,0.00246728099426171
cluster_7,0.0023695741394093796
Co-op,0.0023068578376730584
Indie,0.002291261235007056
cluster_2,0.001646561224743745
cluster_6,0.001197801235615819
Sports,0.0010205275643819713
cluster_3,0.000900391548329127
cluster_8,0.0007685780715141217
cluster_9,0.0006357089909790883
discount_active,0.00042081050593705525
