total_reviews,total_positive,total_negative,review_score,review_score_desc,game_name,appid
1441000,1233320,207680,8,Very Positive,Counter-Strike 2,730
278481,176636,101845,5,Mixed,PUBG: BATTLEGROUNDS,578080
6105,5429,676,8,Very Positive,Dota 2,570
0,0,0,0,No user reviews,Delta Force,2507950
0,0,0,0,No user reviews,Bongo Cat,3419430
518865,449913,68952,8,Very Positive,Rust,252490
383543,379288,4255,9,Overwhelmingly Positive,Stardew Valley,413150
0,0,0,0,No user reviews,Marvel Rivals,2767030
815,554,261,5,Mixed,War Thunder,236390
1139,1005,134,8,Very Positive,Warframe,230410
268030,251047,16983,8,Very Positive,Geometry Dash,322170
12914,10571,2343,8,Very Positive,NARAKA: BLADEPOINT,1203220
175325,130036,45289,6,Mostly Positive,DayZ,221100
27003,20583,6420,6,Mostly Positive,Team Fortress 2,440
252805,201280,51525,6,Mostly Positive,Dead by Daylight,381210
109,91,18,8,Very Positive,VRChat,438100
140227,136694,3533,9,Overwhelmingly Positive,Euro Truck Simulator 2,227300
140996,96445,44551,5,Mixed,Battlefield™ 6,2807960
0,0,0,0,No user reviews,Limbus Company,1973530
120501,109823,10678,8,Very Positive,Hearts of Iron IV,394360
617469,509240,108229,8,Very Positive,HELLDIVERS™ 2,553850
426126,401812,24314,8,Very Positive,ELDEN RING,1245620
231779,132456,99323,5,Mixed,Call of Duty®,1938090
294978,271052,23926,8,Very Positive,Red Dead Redemption 2,1174180
19530,16651,2879,8,Very Positive,Street Fighter™ 6,1364780
371978,330073,41905,8,Very Positive,Cyberpunk 2077,1091500
124779,120836,3943,9,Overwhelmingly Positive,R.E.P.O.,3241660
589639,575763,13876,9,Overwhelmingly Positive,Terraria,105600
147091,138280,8811,8,Very Positive,Project Zomboid,108600
116047,113661,2386,9,Overwhelmingly Positive,RimWorld,294100
53216,32062,21154,5,Mixed,ARK: Survival Ascended,2399830
93128,71790,21338,6,Mostly Positive,Hunt: Showdown 1896,594650
46057,40115,5942,8,Very Positive,The Sims™ 4,1222670
821,639,182,6,Mostly Positive,World of Warships,552990
150504,143622,6882,9,Overwhelmingly Positive,Palworld,1623730
254451,240977,13474,8,Very Positive,Valheim,892970
196432,191896,4536,9,Overwhelmingly Positive,BeamNG.drive,284160
131772,128557,3215,9,Overwhelmingly Positive,Satisfactory,526870
